R,P1,P2,P3,P4
0,0,0,0,0
1,3,3,3,0
2,3,3,3,11
3,3,3,13,11
4,3,12,13,11
5,11,12,13,11
6,11,12,13,18
7,11,12,19,18
8,11,17,19,18
9,15,17,19,18
10,15,17,19,21
11,15,17,21,21
12,15,18,21,21
13,14,18,21,21
14,14,16,21,21
15,14,16,18,21
16,14,16,18,17
17,9,16,18,17
18,9,10,18,17
19,9,10,11,17
20,9,10,11,9
21,0,10,11,9
22,0,0,11,9
23,0,0,0,9
24,0,0,0,0
