Date,MEAN,SD,VARIANCE
2019-06-14,8.521,1.958,0.958
2019-06-15,9.863,1.422,0.506
2019-06-16,11.077,1.719,0.739
2019-06-17,10.827,1.714,0.735
2019-06-18,8.834,1.941,0.942
2019-06-19,8.136,2.088,1.09
2019-06-20,10,2.113,1.116
2019-06-21,10.827,2.05,1.051
2019-06-22,10.213,2.057,1.058
2019-06-23,7.956,2.262,1.28
2019-06-24,8.136,2.171,1.178
2019-06-25,9.863,2.203,1.213
2019-06-26,8.727,2.057,1.058
