R,P1,P2,P3,P4
0,0,0,0,0
1,1,1,1,0
2,1,1,1,1
3,1,1,1,4
4,1,1,2,4
5,1,1,3,5
6,1,1,5,5
7,1,3,5,5
8,1,4,5,5
9,1,5,6,6
10,4,5,6,6
11,5,6,7,6
12,5,6,7,7
13,5,6,7,10
14,5,6,8,10
15,5,6,9,11
16,5,6,11,11
17,5,8,11,11
18,5,9,11,11
19,5,10,12,12
20,8,10,12,12
21,5,10,12,12
22,5,9,11,11
23,4,9,11,11
24,4,7,10,10
25,4,5,10,10
26,4,5,7,9
27,4,5,6,9
28,4,5,6,6
29,1,4,5,5
30,0,4,5,5
31,0,2,4,4
32,0,0,4,4
33,0,0,1,3
34,0,0,0,3
35,0,0,0,0
